"Bharatiya Nyaya Sanhita, 2023","Indian Penal Code, 1860"
CHAPTER I – PRELIMINARY,CHAPTER I – INTRODUCTION
"1. Short title, commencement and application.<para>1(1)",1. Title and extent of operation of the Code.
1(2),New Section
1(3),2. Punishment of offences committed within India.
1(4),"3. Punishment of offences committed beyond, but which by law may be tried within, India."
1(5),4. Extension of Code to extra-territorial offences.
1(6),5. Certain laws not to be affected by this Act.
2. Definitions.,
2(1) ‘act’,33. “Act”. “Omission”
2(2) ‘animal’,47. “Animal”.
2(3) ‘child’,New Sub-Section
2(4) ‘counterfeit’,28. “Counterfeit”.
2(5) ‘Court’,20. “Court of Justice”.
2(6) ‘death’,46. “Death”.
2(7) ‘dishonestly’,24. “Dishonestly”.
2(8) ‘document’,29. “Document”.
Deleted,29A. “Electronic record”.
2(9) ’fraudulently’,25. “Fraudulently”
2(10) ‘gender’,8. Gender.
2(11) ‘good faith’,52. “Good faith”
2(12) ‘Government’,17. “Government”.
Deleted,18. “India”.
2(13) ‘harbour’,52A. “Harbour“.
2(14) ‘injury’,44. “Injury”.
2(15) ‘illegal’and “legally bound to do”.,43. “Illegal”. “Legally bound to do”.
2(16) ‘Judge’,19. “Judge”.
2(17) ‘life’,45. “Life”.
2(18) ‘local law’,42. “Local law”.
2(19) ‘man’,10. “Man”. “Woman”.
2(20) ‘month’ and ‘year’,49. “Year”. “Month”.
2(21) ‘movable property’,22. “Movable property”
2(22) ‘number’,9. Number.
2(23) ‘oath’,51. “Oath”.
2(24) ‘offence’,40. “Offence”.
2(25) ‘omission’,33. “Act”. “Omission”
2(26) ‘person’,11. “Person”.
2(27) ‘public’,12. “Public”.
Deleted,14- “Servant of Government”.
2(28) ‘public servant’,21. “Public servant”.
2(29) ‘reason to believe’,26. “Reason to believe”
Deleted,50. “Section”.
2(30) ‘special law’,41. “Special law”.
2(31) ‘valuable security’,30. “Valuable security”.
2(32) ‘vessel’,48. “Vessel”.
2(33) ‘voluntarily’,39. “Voluntarily”.
2(34) ‘will’,31. “A will”.
2(35) ‘woman’,10. “Man”. “Woman”.
2(36) ‘wrongful gain’,23. “Wrongful gain”.
2(37) ‘wrongful loss’,23. “Wrongful loss”.
2(38) ‘gaining wrongfully’ and ‘losing wrongfully’,23. “gaining wrongfully’ and ‘losing wrongfully”.
2(39),New Sub-Section
3. General explanations<para>3(1),6. Definitions in the Code to be understood subject to exceptions.
3(2),7. Sense of expression once explained.
3(3),"27. Property in possession of wife, clerk or servant."
3(4),32. Words referring to acts include illegal omissions.
3(5),34. Acts done by several persons in furtherance of common intention.
3(6)<para>,35. When such an act is criminal by reason of its being done with a criminal knowledge or intention.
3(7),36. Effect caused partly by act and partly by omission.
3(8),37. Co-operation by doing one of several acts constituting an offence.
3(9),38. Persons concerned in criminal act may be guilty of different offences.
CHAPTER II – OF PUNISHMENTS,CHAPTER III - OF PUNISHMENTS
4. Punishments.,53. Punishments.
Deleted,53A. Construction of reference to transportation.
5. Commutation of sentence.<para>5(a),54. Commutation of sentence of death.
5(b),55. Commutation of sentence of imprisonment for life.
6. Fractions of terms of punishment.,57. Fractions of terms of punishment.
7. Sentence may be (in certain cases of imprisonment) wholly or partly rigorous or simple.,60. Sentence may be (in certain cases of imprisonment) wholly or partly rigorous or simple.
"8. Amount of fine, liability in default of payment of fine, etc.<para>8(1)",63. Amount of fine
8(2),64. Sentence of imprisonment for non-payment of fine.
8(3),"65. Limit to imprisonment for non-payment of fine, when imprisonment and fine awardable."
8(4),66. Description of imprisonment for non-payment of fine.
8(5),"67. Imprisonment for non-payment of fine, when offence punishable with fine only."
8(6)(a),68. Imprisonment to terminate on payment of fine.
8(6)(b),69. Termination of imprisonment on payment of proportional part of fine.
8(7),"70. Fine leviable within six years, of during imprisonment. Death not to discharge property from liability."
9. Limit of punishment of offence made up of several offences.,71. Limit of punishment of offence made up of several offences.
"10. Punishment of person guilty of one of several offences, judgment stating that it is doubtful of which.","72. Punishment of person guilty of one of several offences, the judgment stating that it is doubtful of which."
11. Solitary confinement.,73. Solitary confinement.
12. Limit of solitary confinement.,74. Limit of solitary confinement.
13. Enhanced punishment for certain offences after previous conviction.,75. Enhanced punishment for certain offences under Chapter XII or Chapter XVII after previous conviction.
CHAPTER III<para>GENERAL EXCEPTIONS,CHAPTER IV<para>GENERAL EXCEPTIONS
"14. Act done by a person bound, or by mistake of fact believing himself bound, by law.","76. Act done by a person bound, or by mistake of fact believing himself bound, by law."
15. Act of Judge when acting judicially.,77. Act of Judge when acting judicially.
16. Act done pursuant to judgment or order of Court.,78. Act done pursuant to the judgment or order of Court.
"17. Act done by a person justified, or by mistake of fact believing himself justified, by law.","79. Act done by a person justified, or by mistake of fact believing himself, justified, by law."
18. Accident in doing a lawful act.,80. Accident in doing a lawful act.
"19. Act likely to cause harm, but done without criminal intent, and to prevent other harm.","81. Act likely to cause harm, but done without criminal intent, and to prevent other harm."
20. Act of a child under seven years of age.,82. Act of a child under seven years of age.
21. Act of a child above seven and under twelve years of age of immature understanding.,83. Act of a child above seven and under twelve of immature understanding.
22. Act of a person of unsound mind.,84. Act of a person of unsound mind.
23. Act of a person incapable of judgment by reason of intoxication caused against his will.,85. Act of a person incapable of judgment by reason of intoxication caused against his will.
24. Offence requiring a particular intent or knowledge committed by one who is intoxicated.,86. Offence requiring a particular intent or knowledge committed by one who is intoxicated.
"25. Act not intended and not known to be likely to cause death or grievous hurt, done by consent.","87. Act not intended and not known to be likely to cause death or grievous hurt, done by consent."
"26. Act not intended to cause death, done by consent in good faith for person’s benefit.","88. Act not intended to cause death, done by consent in good faith for person's benefit."
"27. Act done in good faith for benefit of child or person of unsound mind, by or by consent of guardian.","89. Act done in good faith for benefit of child or insane person, by or by consent of guardian."
28. Consent known to be given under fear or misconception.,90. Consent known to be given under fear or misconception.
29. Exclusion of acts which are offences independently of harm caused.,91. Exclusion of acts which are offences independently of harm caused.
30. Act done in good faith for benefit of a person without consent.,92. Act done in good faith for benefit of a person without consent.
31. Communication made in good faith.,93. Communication made in good faith.
32. Act to which a person is compelled by threats.,94. Act to which a person is compelled by threats.
33. Act causing slight harm.,95. Act causing slight harm.
Of right of private defence,Of the Right of Private Defence
34. Things done in private defence.,96. Things done in private defence.
35. Right of private defence of body and of property.,97. Right of private defence of the body and of property.
"36. Right of private defence against act of a person of unsound mind, etc.","98. Right of private defence against the act of a person of unsound mind, etc."
37. Acts against which there is no right of private defence.,99. Acts against which there is no right of private defence.
38. When right of private defence of body extends to causing death.,100. When the right of private defence of the body extends to causing death.
39. When such right extends to causing any harm other than death.,101. When such right extends to causing any harm other than death.
40. Commencement and continuance of right of private defence of body.,102. Commencement and continuance of the right of private defence of the body.
41. When right of private defence of property extends to causing death.,103. When the right of private defence of property extends to causing death.
42. When such right extends to causing any harm other than death.,104. When such right extends to causing any harm other than death.
43. Commencement and continuance of right of private defence of property.,105. Commencement and continuance of the right of private defence of property.
44. Right of private defence against deadly assault when there is risk of harm to innocent person.,106. Right of private defence against deadly assault when there is risk of harm to innocent person.
"CHAPTER IV<para>OF ABETMENT, CRIMINAL CONSPIRACY AND ATTEMPT<para>Of abetment",CHAPTER V<para>OF ABETMENT
45. Abetment of a thing.,107. Abetment of a thing.
46. Abettor.,108. Abettor.
47. Abetment in India of offences outside India.,108A. Abetment in India of offences outside India.
48. Abetment outside India for offence in India.,New Section
49. Punishment of abetment if act abetted is committed in consequence and where no express provision is made for its punishment.,109. Punishment of abetment if the act abetted is committed in consequence and where no express provision is made for its punishment.
50. Punishment of abetment if person abetted does act with different intention from that of abettor.,110. Punishment of abetment if person abetted does act with different intention from that of abettor.
51. Liability of abettor when one act abetted and different act done.,111. Liability of abettor when one act abetted and different act done.
52. Abettor when liable to cumulative punishment for act abetted and for act done.,112. Abettor when liable to cumulative punishment for act abetted and for act done.
53. Liability of abettor for an effect caused by act abetted different from that intended by abettor.,113. Liability of abettor for an effect caused by the act abetted different from that intended by the abettor.
54. Abettor present when offence is committed.,114. Abettor present when offence is committed.
55. Abetment of offence punishable with death or imprisonment for life.,115. Abetment of offence punishable with death or imprisonment for life.—if offence not committed.
56. Abetment of offence punishable with imprisonment.,116. Abetment of offence punishable with imprisonment—if offence be not committed.
57. Abetting commission of offence by public or by more than ten persons.,117. Abetting commission of offence by the public or by more than ten persons.
58. Concealing design to commit offence punishable with death or imprisonment for life.,118. Concealing design to commit offence punishable with death or imprisonment for life.
59. Public servant concealing design to commit offence which it is his duty to prevent.,119. Public servant concealing design to commit offence which it is his duty to prevent.
60. Concealing design to commit offence punishable with imprisonment.,120. Concealing design to commit offence punishable with imprisonment.
Of criminal conspiracy,CHAPTER VA<para>CRIMINAL CONSPIRACY
61. Criminal conspiracy.<para>61(1),120A. Definition of criminal conspiracy.
61(2),120B. Punishment of criminal conspiracy.
Of attempt,CHAPTER XXIII<para>OF ATTEMPTS TO COMMIT OFFENCES
62. Punishment for attempting to commit offences punishable with imprisonment for life or other imprisonment.,511. Punishment for attempting to commit offences punishable with imprisonment for life or other imprisonment.
CHAPTER V<para>OF OFFENCES AGAINST WOMAN AND CHILD<para>Of sexual offences,CHAPTER XVI<para>OF OFFENCES AFFECTING THE HUMAN BODY<para>Sexual Offences
63. Rape.,375. Rape.
64. Punishment for rape.,376. Punishment for rape.
65. Punishment for rape in certain cases.<para>65(1),376(3)
65(2)<para>,376AB. Punishment for rape on woman under twelve years of age.
66. Punishment for causing death or resulting in persistent vegetative state of victim.,376A. Punishment for causing death or resulting in persistent vegetative state of victim.
67. Sexual intercourse by husband upon his wife during separation.,376B. Sexual intercourse by husband upon his wife during separation.
68. Sexual intercourse by a person in authority.,376C. Sexual intercourse by a person in authority.
69. Sexual intercourse by employing deceitful means etc.,New Section
70. Gang rape.<para>70(1),376D. Gang rape.
